session_id,ev_index,slot_id,chi,P_ev_ch_kw,P_ev_dis_kw,E_ev_kwh,E_required_kwh,v2b_allowed
S007,1,19,0.0,0.0,0.0,36.5,47.0,1
S007,1,20,0.0,0.0,0.0,36.5,47.0,1
S007,1,21,0.0,0.0,0.0,36.5,47.0,1
S007,1,22,0.0,0.0,0.0,36.5,47.0,1
S007,1,23,0.0,0.0,0.0,36.5,47.0,1
S007,1,24,0.0,0.0,0.0,36.5,47.0,1
S007,1,25,0.0,0.0,0.0,36.5,47.0,1
S007,1,26,0.0,0.0,0.0,36.5,47.0,1
S007,1,27,0.0,0.0,0.0,36.5,47.0,1
S007,1,28,1.0,7.0,0.0,38.1625,47.0,1
S007,1,29,1.0,0.0,0.0,38.1625,47.0,1
S007,1,30,1.0,0.0,0.0,38.1625,47.0,1
S007,1,31,1.0,0.0,0.0,38.1625,47.0,1
S007,1,32,1.0,0.0,0.0,38.1625,47.0,1
S007,1,33,1.0,0.0,0.0,38.1625,47.0,1
S007,1,34,1.0,0.0,0.0,38.1625,47.0,1
S007,1,35,1.0,0.0,0.0,38.1625,47.0,1
S007,1,36,1.0,0.0,0.0,38.1625,47.0,1
S007,1,37,1.0,0.0,0.0,38.1625,47.0,1
S007,1,38,1.0,0.0,0.0,38.1625,47.0,1
S007,1,39,1.0,0.0,0.0,38.1625,47.0,1
S007,1,40,1.0,0.0,0.0,38.1625,47.0,1
S007,1,41,1.0,0.0,0.0,38.1625,47.0,1
S007,1,42,1.0,0.0,0.0,38.1625,47.0,1
S007,1,43,1.0,2.210526315789438,0.0,38.68749999999999,47.0,1
S007,1,44,1.0,7.0,0.0,40.35,47.0,1
S007,1,45,1.0,7.0,0.0,42.012499999999996,47.0,1
S007,1,46,1.0,7.0,0.0,43.675,47.0,1
S007,1,47,1.0,7.0,0.0,45.3375,47.0,1
S007,1,48,1.0,7.0,0.0,47.0,47.0,1
S002,2,1,0.0,0.0,0.0,26.4,42.2,1
S002,2,2,0.0,0.0,0.0,26.4,42.2,1
S002,2,3,0.0,0.0,0.0,26.4,42.2,1
S002,2,4,0.0,0.0,0.0,26.4,42.2,1
S002,2,5,0.0,0.0,0.0,26.4,42.2,1
S002,2,6,0.0,0.0,0.0,26.4,42.2,1
S002,2,7,0.0,0.0,0.0,26.4,42.2,1
S002,2,8,0.0,0.0,0.0,26.4,42.2,1
S002,2,9,0.0,0.0,0.0,26.4,42.2,1
S002,2,10,0.0,0.0,0.0,26.4,42.2,1
S002,2,11,0.0,0.0,0.0,26.4,42.2,1
S002,2,12,0.0,0.0,0.0,26.4,42.2,1
S002,2,13,0.0,0.0,0.0,26.4,42.2,1
S002,2,14,0.0,0.0,0.0,26.4,42.2,1
S002,2,15,0.0,0.0,0.0,26.4,42.2,1
S002,2,16,0.0,0.0,0.0,26.4,42.2,1
S002,2,17,0.0,0.0,0.0,26.4,42.2,1
S002,2,18,0.0,0.0,0.0,26.4,42.2,1
S002,2,19,0.0,0.0,0.0,26.4,42.2,1
S002,2,20,0.0,0.0,0.0,26.4,42.2,1
S002,2,21,0.0,0.0,0.0,26.4,42.2,1
S002,2,22,0.0,0.0,0.0,26.4,42.2,1
S002,2,23,0.0,0.0,0.0,26.4,42.2,1
S002,2,24,0.0,0.0,0.0,26.4,42.2,1
S002,2,25,0.0,0.0,0.0,26.4,42.2,1
S002,2,26,0.0,0.0,0.0,26.4,42.2,1
S002,2,27,0.0,0.0,0.0,26.4,42.2,1
S002,2,28,0.0,0.0,0.0,26.4,42.2,1
S002,2,29,0.0,0.0,0.0,26.4,42.2,1
S002,2,30,0.0,0.0,0.0,26.4,42.2,1
S002,2,31,1.0,0.0,0.0,26.4,42.2,1
S002,2,32,1.0,0.0,0.0,26.4,42.2,1
S002,2,33,1.0,0.0,0.0,26.4,42.2,1
S002,2,34,1.0,0.0,0.0,26.4,42.2,1
S002,2,35,1.0,0.0,0.0,26.4,42.2,1
S002,2,36,1.0,0.0,0.0,26.4,42.2,1
S002,2,37,1.0,0.0,0.0,26.4,42.2,1
S002,2,38,1.0,0.0,0.0,26.4,42.2,1
S002,2,39,1.0,3.5263157894736485,0.0,27.23749999999999,42.2,1
S002,2,40,1.0,7.0,0.0,28.9,42.2,1
S002,2,41,1.0,7.0,0.0,30.562499999999993,42.2,1
S002,2,42,1.0,7.0,0.0,32.224999999999994,42.2,1
S002,2,43,1.0,7.0,0.0,33.887499999999996,42.2,1
S002,2,44,1.0,7.0,0.0,35.55,42.2,1
S002,2,45,1.0,7.0,0.0,37.2125,42.2,1
S002,2,46,1.0,7.0,0.0,38.875,42.2,1
S002,2,47,1.0,7.0,0.0,40.5375,42.2,1
S002,2,48,1.0,7.0,0.0,42.2,42.2,1
S006,3,1,0.0,0.0,0.0,17.4,43.5,1
S006,3,2,0.0,0.0,0.0,17.4,43.5,1
S006,3,3,0.0,0.0,0.0,17.4,43.5,1
S006,3,4,0.0,0.0,0.0,17.4,43.5,1
S006,3,5,0.0,0.0,0.0,17.4,43.5,1
S006,3,6,0.0,0.0,0.0,17.4,43.5,1
S006,3,7,0.0,0.0,0.0,17.4,43.5,1
S006,3,8,0.0,0.0,0.0,17.4,43.5,1
S006,3,9,0.0,0.0,0.0,17.4,43.5,1
S006,3,10,0.0,0.0,0.0,17.4,43.5,1
S006,3,11,0.0,0.0,0.0,17.4,43.5,1
S006,3,12,0.0,0.0,0.0,17.4,43.5,1
S006,3,13,0.0,0.0,0.0,17.4,43.5,1
S006,3,14,0.0,0.0,0.0,17.4,43.5,1
S006,3,15,0.0,0.0,0.0,17.4,43.5,1
S006,3,16,0.0,0.0,0.0,17.4,43.5,1
S006,3,17,0.0,0.0,0.0,17.4,43.5,1
S006,3,18,0.0,0.0,0.0,17.4,43.5,1
S006,3,19,0.0,0.0,0.0,17.4,43.5,1
S006,3,20,0.0,0.0,0.0,17.4,43.5,1
S006,3,21,0.0,0.0,0.0,17.4,43.5,1
S006,3,22,0.0,0.0,0.0,17.4,43.5,1
S006,3,23,0.0,0.0,0.0,17.4,43.5,1
S006,3,24,0.0,0.0,0.0,17.4,43.5,1
S006,3,25,0.0,0.0,0.0,17.4,43.5,1
S006,3,26,0.0,0.0,0.0,17.4,43.5,1
S006,3,27,0.0,0.0,0.0,17.4,43.5,1
S006,3,28,0.0,0.0,0.0,17.4,43.5,1
S006,3,29,0.0,0.0,0.0,17.4,43.5,1
S006,3,30,0.0,0.0,0.0,17.4,43.5,1
S006,3,31,0.0,0.0,0.0,17.4,43.5,1
S006,3,32,1.0,7.0,0.0,19.0625,43.5,1
S006,3,33,1.0,7.0,0.0,20.72499999999998,43.5,1
S006,3,34,1.0,7.0,0.0,22.38749999999998,43.5,1
S006,3,35,1.0,7.0,0.0,24.05,43.5,1
S006,3,36,1.0,7.0,0.0,25.712499999999984,43.5,1
S006,3,37,1.0,7.0,0.0,27.374999999999986,43.5,1
S006,3,38,1.0,7.0,0.0,29.037499999999987,43.5,1
S006,3,39,1.0,7.0,0.0,30.7,43.5,1
S006,3,40,1.0,7.0,0.0,32.36249999999999,43.5,1
S006,3,41,1.0,7.0,0.0,34.02499999999999,43.5,1
S006,3,42,1.0,7.0,0.0,35.68749999999999,43.5,1
S006,3,43,1.0,4.894736842105246,0.0,36.85,43.5,1
S006,3,44,1.0,0.0,0.0,36.85,43.5,1
S006,3,45,1.0,7.0,0.0,38.51249999999999,43.5,1
S006,3,46,1.0,7.0,0.0,40.17499999999999,43.5,1
S006,3,47,1.0,7.0,0.0,41.83749999999999,43.5,1
S006,3,48,1.0,7.0,0.0,43.5,43.5,1
