ev_index,session_id,ev_type,arrival_time,departure_time,battery_capacity_kwh,initial_energy_kwh,required_energy_at_departure_kwh,max_charge_power_kw,max_discharge_power_kw,v2b_allowed,degradation_cost_cny_per_kwh_throughput,arrival_time_discrete,departure_time_discrete,arrival_slot,departure_slot,dwell_slots,feasibility_flag,issue_note
42,S049,SUV,2025-07-16 08:00:00,2025-07-16 15:15:00,75,35.1,53.6,7,7,1,0.068,2025-07-16 08:00:00,2025-07-16 15:15:00,225,254,29,1,
43,S039,SUV,2025-07-16 08:15:00,2025-07-16 17:45:00,75,61.5,70.5,7,0,0,0.067,2025-07-16 08:15:00,2025-07-16 17:45:00,226,264,38,1,
44,S040,compact,2025-07-16 08:15:00,2025-07-16 17:45:00,50,17.2,32.3,7,7,1,0.104,2025-07-16 08:15:00,2025-07-16 17:45:00,226,264,38,1,
45,S042,sedan,2025-07-16 08:15:00,2025-07-16 17:30:00,60,19.6,43.7,11,0,0,0.08,2025-07-16 08:15:00,2025-07-16 17:30:00,226,263,37,1,
46,S046,compact,2025-07-16 08:30:00,2025-07-16 18:15:00,50,9.5,36.2,11,10,1,0.096,2025-07-16 08:30:00,2025-07-16 18:15:00,227,266,39,1,
47,S043,sedan,2025-07-16 09:00:00,2025-07-16 18:30:00,60,24.5,48.9,7,7,1,0.091,2025-07-16 09:00:00,2025-07-16 18:30:00,229,267,38,1,
48,S037,SUV,2025-07-16 09:15:00,2025-07-16 19:00:00,75,58.2,70.5,7,7,1,0.063,2025-07-16 09:15:00,2025-07-16 19:00:00,230,269,39,1,
49,S048,compact,2025-07-16 09:15:00,2025-07-16 15:15:00,50,15.9,42.7,7,7,1,0.099,2025-07-16 09:15:00,2025-07-16 15:15:00,230,254,24,1,
50,S052,sedan,2025-07-16 09:15:00,2025-07-16 19:00:00,60,29.2,44.2,7,7,1,0.092,2025-07-16 09:15:00,2025-07-16 19:00:00,230,269,39,1,
51,S047,SUV,2025-07-16 09:30:00,2025-07-16 18:45:00,75,42.1,58.6,7,0,0,0.072,2025-07-16 09:30:00,2025-07-16 18:45:00,231,268,37,1,
52,S051,compact,2025-07-16 10:15:00,2025-07-16 16:30:00,50,23.5,37.3,11,0,0,0.099,2025-07-16 10:15:00,2025-07-16 16:30:00,234,259,25,1,
53,S068,compact,2025-07-17 06:45:00,2025-07-17 15:30:00,50,33.1,44.8,7,7,1,0.096,2025-07-17 06:45:00,2025-07-17 15:30:00,316,351,35,1,
54,S059,compact,2025-07-17 07:00:00,2025-07-17 17:00:00,50,11.5,34.7,11,10,1,0.107,2025-07-17 07:00:00,2025-07-17 17:00:00,317,357,40,1,
55,S061,SUV,2025-07-17 07:30:00,2025-07-17 17:00:00,75,50.9,62.6,7,7,1,0.078,2025-07-17 07:30:00,2025-07-17 17:00:00,319,357,38,1,
56,S072,compact,2025-07-17 07:45:00,2025-07-17 17:30:00,50,21.5,42.8,11,10,1,0.097,2025-07-17 07:45:00,2025-07-17 17:30:00,320,359,39,1,
57,S060,sedan,2025-07-17 07:45:00,2025-07-17 16:15:00,60,32.9,51.0,7,7,1,0.092,2025-07-17 07:45:00,2025-07-17 16:15:00,320,354,34,1,
58,S054,compact,2025-07-17 08:00:00,2025-07-17 15:30:00,50,18.8,32.6,7,7,1,0.102,2025-07-17 08:00:00,2025-07-17 15:30:00,321,351,30,1,
59,S070,SUV,2025-07-17 08:00:00,2025-07-17 15:45:00,75,24.8,61.5,7,0,0,0.075,2025-07-17 08:00:00,2025-07-17 15:45:00,321,352,31,1,
60,S065,SUV,2025-07-17 08:15:00,2025-07-17 17:30:00,75,31.4,56.2,11,10,1,0.069,2025-07-17 08:15:00,2025-07-17 17:30:00,322,359,37,1,
61,S063,compact,2025-07-17 08:15:00,2025-07-17 18:30:00,50,9.0,42.1,7,7,1,0.098,2025-07-17 08:15:00,2025-07-17 18:30:00,322,363,41,1,
62,S053,compact,2025-07-17 08:15:00,2025-07-17 19:15:00,50,9.0,38.2,11,10,1,0.105,2025-07-17 08:15:00,2025-07-17 19:15:00,322,366,44,1,
63,S057,sedan,2025-07-17 08:15:00,2025-07-17 19:15:00,60,25.4,47.6,7,7,1,0.095,2025-07-17 08:15:00,2025-07-17 19:15:00,322,366,44,1,
64,S056,SUV,2025-07-17 08:15:00,2025-07-17 17:45:00,75,22.5,48.1,7,0,0,0.07,2025-07-17 08:15:00,2025-07-17 17:45:00,322,360,38,1,
65,S055,sedan,2025-07-17 08:15:00,2025-07-17 19:00:00,60,37.6,48.1,11,10,1,0.083,2025-07-17 08:15:00,2025-07-17 19:00:00,322,365,43,1,
66,S058,SUV,2025-07-17 08:30:00,2025-07-17 17:45:00,75,18.8,56.7,11,10,1,0.069,2025-07-17 08:30:00,2025-07-17 17:45:00,323,360,37,1,
67,S062,SUV,2025-07-17 08:45:00,2025-07-17 19:30:00,75,32.5,62.2,7,0,0,0.076,2025-07-17 08:45:00,2025-07-17 19:30:00,324,367,43,1,
68,S066,compact,2025-07-17 09:00:00,2025-07-17 19:15:00,50,24.8,38.2,7,7,1,0.107,2025-07-17 09:00:00,2025-07-17 19:15:00,325,366,41,1,
69,S067,SUV,2025-07-17 09:00:00,2025-07-17 17:00:00,75,27.4,55.5,11,10,1,0.069,2025-07-17 09:00:00,2025-07-17 17:00:00,325,357,32,1,
70,S069,compact,2025-07-17 09:00:00,2025-07-17 19:15:00,50,14.2,37.4,11,10,1,0.105,2025-07-17 09:00:00,2025-07-17 19:15:00,325,366,41,1,
71,S071,sedan,2025-07-17 09:15:00,2025-07-17 17:00:00,60,25.3,43.4,7,0,0,0.087,2025-07-17 09:15:00,2025-07-17 17:00:00,326,357,31,1,
72,S064,compact,2025-07-17 09:30:00,2025-07-17 19:45:00,50,35.0,45.4,11,0,0,0.096,2025-07-17 09:30:00,2025-07-17 19:45:00,327,368,41,1,
73,S087,sedan,2025-07-18 07:00:00,2025-07-18 16:15:00,60,31.2,47.8,11,10,1,0.082,2025-07-18 07:00:00,2025-07-18 16:15:00,413,450,37,1,
74,S086,SUV,2025-07-18 08:00:00,2025-07-18 17:15:00,75,27.1,62.9,11,10,1,0.073,2025-07-18 08:00:00,2025-07-18 17:15:00,417,454,37,1,
75,S075,compact,2025-07-18 08:00:00,2025-07-18 14:15:00,50,9.0,43.2,7,7,1,0.096,2025-07-18 08:00:00,2025-07-18 14:15:00,417,442,25,1,
76,S085,compact,2025-07-18 08:15:00,2025-07-18 17:00:00,50,22.3,35.6,7,7,1,0.101,2025-07-18 08:15:00,2025-07-18 17:00:00,418,453,35,1,
77,S078,compact,2025-07-18 08:30:00,2025-07-18 18:45:00,50,21.1,35.5,7,7,1,0.106,2025-07-18 08:30:00,2025-07-18 18:45:00,419,460,41,1,
78,S081,compact,2025-07-18 08:30:00,2025-07-18 16:30:00,50,32.9,47.0,11,0,0,0.108,2025-07-18 08:30:00,2025-07-18 16:30:00,419,451,32,1,
79,S082,compact,2025-07-18 08:30:00,2025-07-18 15:00:00,50,18.4,41.7,11,10,1,0.106,2025-07-18 08:30:00,2025-07-18 15:00:00,419,445,26,1,
80,S079,compact,2025-07-18 09:00:00,2025-07-18 20:30:00,50,27.2,42.4,11,10,1,0.104,2025-07-18 09:00:00,2025-07-18 20:30:00,421,467,46,1,
81,S074,sedan,2025-07-18 09:00:00,2025-07-18 16:15:00,60,25.2,41.2,11,10,1,0.078,2025-07-18 09:00:00,2025-07-18 16:15:00,421,450,29,1,
82,S083,SUV,2025-07-18 09:15:00,2025-07-18 19:00:00,75,54.0,70.5,7,7,1,0.073,2025-07-18 09:15:00,2025-07-18 19:00:00,422,461,39,1,
83,S080,compact,2025-07-18 09:15:00,2025-07-18 17:00:00,50,27.9,46.1,7,0,0,0.107,2025-07-18 09:15:00,2025-07-18 17:00:00,422,453,31,1,
84,S089,compact,2025-07-18 09:15:00,2025-07-18 20:00:00,50,9.0,35.5,7,7,1,0.103,2025-07-18 09:15:00,2025-07-18 20:00:00,422,465,43,1,
85,S077,sedan,2025-07-18 09:30:00,2025-07-18 21:00:00,60,49.2,56.4,7,7,1,0.093,2025-07-18 09:30:00,2025-07-18 21:00:00,423,469,46,1,
86,S073,sedan,2025-07-18 09:45:00,2025-07-18 17:15:00,60,28.0,51.8,7,0,0,0.085,2025-07-18 09:45:00,2025-07-18 17:15:00,424,454,30,1,
87,S084,compact,2025-07-18 10:00:00,2025-07-18 20:00:00,50,9.7,33.1,11,10,1,0.097,2025-07-18 10:00:00,2025-07-18 20:00:00,425,465,40,1,
88,S088,SUV,2025-07-18 10:30:00,2025-07-18 19:00:00,75,34.5,54.2,7,7,1,0.073,2025-07-18 10:30:00,2025-07-18 19:00:00,427,461,34,1,
89,S076,SUV,2025-07-18 11:15:00,2025-07-18 19:15:00,75,13.5,49.7,11,0,0,0.066,2025-07-18 11:15:00,2025-07-18 19:15:00,430,462,32,1,
90,S090,sedan,2025-07-19 09:45:00,2025-07-19 18:15:00,60,29.2,49.4,7,0,0,0.088,2025-07-19 09:45:00,2025-07-19 18:15:00,520,554,34,1,
91,S093,sedan,2025-07-19 10:15:00,2025-07-19 16:00:00,60,47.8,56.4,7,0,0,0.085,2025-07-19 10:15:00,2025-07-19 16:00:00,522,545,23,1,
92,S091,sedan,2025-07-19 11:30:00,2025-07-19 14:00:00,60,10.8,38.1,11,0,0,0.094,2025-07-19 11:30:00,2025-07-19 14:00:00,527,537,10,1,
93,S092,SUV,2025-07-19 12:00:00,2025-07-19 14:30:00,75,61.5,70.5,7,0,0,0.065,2025-07-19 12:00:00,2025-07-19 14:30:00,529,539,10,1,
94,S095,compact,2025-07-19 12:00:00,2025-07-19 16:15:00,50,29.0,42.8,7,7,1,0.098,2025-07-19 12:00:00,2025-07-19 16:15:00,529,546,17,1,
95,S094,SUV,2025-07-19 12:15:00,2025-07-19 17:00:00,75,42.5,62.6,7,0,0,0.078,2025-07-19 12:15:00,2025-07-19 17:00:00,530,549,19,1,
96,S102,SUV,2025-07-20 08:45:00,2025-07-20 12:15:00,75,13.5,61.7,7,0,0,0.071,2025-07-20 08:45:00,2025-07-20 12:15:00,612,626,14,0,
97,S096,sedan,2025-07-20 10:15:00,2025-07-20 13:15:00,60,49.2,56.4,7,0,0,0.094,2025-07-20 10:15:00,2025-07-20 13:15:00,618,630,12,1,
98,S099,sedan,2025-07-20 10:45:00,2025-07-20 13:15:00,60,31.8,47.3,7,7,1,0.093,2025-07-20 10:45:00,2025-07-20 13:15:00,620,630,10,1,
99,S097,compact,2025-07-20 11:00:00,2025-07-20 17:45:00,50,19.5,42.9,11,10,1,0.094,2025-07-20 11:00:00,2025-07-20 17:45:00,621,648,27,1,
100,S098,sedan,2025-07-20 11:15:00,2025-07-20 15:00:00,60,10.8,38.5,11,10,1,0.095,2025-07-20 11:15:00,2025-07-20 15:00:00,622,637,15,1,
101,S101,SUV,2025-07-20 11:15:00,2025-07-20 15:45:00,75,34.8,59.7,11,10,1,0.074,2025-07-20 11:15:00,2025-07-20 15:45:00,622,640,18,1,
102,S100,SUV,2025-07-20 12:00:00,2025-07-20 16:30:00,75,34.3,62.8,11,0,0,0.076,2025-07-20 12:00:00,2025-07-20 16:30:00,625,643,18,1,
