timestamp,grid_carbon_kg_per_kwh
2025-07-17 05:45:00,0.644
2025-07-17 06:00:00,0.639
2025-07-17 06:15:00,0.634
2025-07-17 06:30:00,0.629
2025-07-17 06:45:00,0.625
2025-07-17 07:00:00,0.62
2025-07-17 07:15:00,0.616
2025-07-17 07:30:00,0.611
2025-07-17 07:45:00,0.607
2025-07-17 08:00:00,0.603
2025-07-17 08:15:00,0.6
2025-07-17 08:30:00,0.597
2025-07-17 08:45:00,0.593
2025-07-17 09:00:00,0.591
2025-07-17 09:15:00,0.588
2025-07-17 09:30:00,0.586
2025-07-17 09:45:00,0.584
2025-07-17 10:00:00,0.583
2025-07-17 10:15:00,0.582
2025-07-17 10:30:00,0.581
2025-07-17 10:45:00,0.58
2025-07-17 11:00:00,0.58
2025-07-17 11:15:00,0.58
2025-07-17 11:30:00,0.581
2025-07-17 11:45:00,0.582
2025-07-17 12:00:00,0.583
2025-07-17 12:15:00,0.584
2025-07-17 12:30:00,0.586
2025-07-17 12:45:00,0.588
2025-07-17 13:00:00,0.591
2025-07-17 13:15:00,0.593
2025-07-17 13:30:00,0.597
2025-07-17 13:45:00,0.6
2025-07-17 14:00:00,0.603
2025-07-17 14:15:00,0.607
2025-07-17 14:30:00,0.611
2025-07-17 14:45:00,0.616
2025-07-17 15:00:00,0.62
2025-07-17 15:15:00,0.625
2025-07-17 15:30:00,0.629
2025-07-17 15:45:00,0.634
2025-07-17 16:00:00,0.639
2025-07-17 16:15:00,0.644
2025-07-17 16:30:00,0.65
2025-07-17 16:45:00,0.655
2025-07-17 17:00:00,0.66
2025-07-17 17:15:00,0.665
2025-07-17 17:30:00,0.67
2025-07-17 17:45:00,0.676
2025-07-17 18:00:00,0.681
2025-07-17 18:15:00,0.686
2025-07-17 18:30:00,0.691
2025-07-17 18:45:00,0.695
2025-07-17 19:00:00,0.7
2025-07-17 19:15:00,0.704
2025-07-17 19:30:00,0.709
2025-07-17 19:45:00,0.713
2025-07-17 20:00:00,0.717
2025-07-17 20:15:00,0.72
2025-07-17 20:30:00,0.723
2025-07-17 20:45:00,0.727
2025-07-17 21:00:00,0.729
2025-07-17 21:15:00,0.732
2025-07-17 21:30:00,0.734
2025-07-17 21:45:00,0.736
2025-07-17 22:00:00,0.737
2025-07-17 22:15:00,0.738
2025-07-17 22:30:00,0.739
2025-07-17 22:45:00,0.74
2025-07-17 23:00:00,0.74
2025-07-17 23:15:00,0.74
2025-07-17 23:30:00,0.739
2025-07-17 23:45:00,0.738
2025-07-18 00:00:00,0.737
2025-07-18 00:15:00,0.736
2025-07-18 00:30:00,0.734
2025-07-18 00:45:00,0.732
2025-07-18 01:00:00,0.729
2025-07-18 01:15:00,0.727
2025-07-18 01:30:00,0.723
2025-07-18 01:45:00,0.72
2025-07-18 02:00:00,0.717
2025-07-18 02:15:00,0.713
2025-07-18 02:30:00,0.709
2025-07-18 02:45:00,0.704
2025-07-18 03:00:00,0.7
2025-07-18 03:15:00,0.695
2025-07-18 03:30:00,0.691
2025-07-18 03:45:00,0.686
2025-07-18 04:00:00,0.681
2025-07-18 04:15:00,0.676
2025-07-18 04:30:00,0.67
2025-07-18 04:45:00,0.665
2025-07-18 05:00:00,0.66
2025-07-18 05:15:00,0.655
2025-07-18 05:30:00,0.65
2025-07-18 05:45:00,0.644
2025-07-18 06:00:00,0.639
2025-07-18 06:15:00,0.634
2025-07-18 06:30:00,0.629
2025-07-18 06:45:00,0.625
2025-07-18 07:00:00,0.62
2025-07-18 07:15:00,0.616
2025-07-18 07:30:00,0.611
2025-07-18 07:45:00,0.607
2025-07-18 08:00:00,0.603
2025-07-18 08:15:00,0.6
2025-07-18 08:30:00,0.597
2025-07-18 08:45:00,0.593
2025-07-18 09:00:00,0.591
2025-07-18 09:15:00,0.588
2025-07-18 09:30:00,0.586
2025-07-18 09:45:00,0.584
2025-07-18 10:00:00,0.583
2025-07-18 10:15:00,0.582
2025-07-18 10:30:00,0.581
2025-07-18 10:45:00,0.58
2025-07-18 11:00:00,0.58
2025-07-18 11:15:00,0.58
2025-07-18 11:30:00,0.581
2025-07-18 11:45:00,0.582
2025-07-18 12:00:00,0.583
2025-07-18 12:15:00,0.584
2025-07-18 12:30:00,0.586
2025-07-18 12:45:00,0.588
2025-07-18 13:00:00,0.591
2025-07-18 13:15:00,0.593
2025-07-18 13:30:00,0.597
2025-07-18 13:45:00,0.6
2025-07-18 14:00:00,0.603
2025-07-18 14:15:00,0.607
2025-07-18 14:30:00,0.611
2025-07-18 14:45:00,0.616
2025-07-18 15:00:00,0.62
2025-07-18 15:15:00,0.625
2025-07-18 15:30:00,0.629
2025-07-18 15:45:00,0.634
2025-07-18 16:00:00,0.639
2025-07-18 16:15:00,0.644
2025-07-18 16:30:00,0.65
2025-07-18 16:45:00,0.655
2025-07-18 17:00:00,0.66
2025-07-18 17:15:00,0.665
2025-07-18 17:30:00,0.67
2025-07-18 17:45:00,0.676
2025-07-18 18:00:00,0.681
2025-07-18 18:15:00,0.686
2025-07-18 18:30:00,0.691
2025-07-18 18:45:00,0.695
2025-07-18 19:00:00,0.7
2025-07-18 19:15:00,0.704
2025-07-18 19:30:00,0.709
2025-07-18 19:45:00,0.713
2025-07-18 20:00:00,0.717
2025-07-18 20:15:00,0.72
2025-07-18 20:30:00,0.723
2025-07-18 20:45:00,0.727
2025-07-18 21:00:00,0.729
2025-07-18 21:15:00,0.732
2025-07-18 21:30:00,0.734
2025-07-18 21:45:00,0.736
2025-07-18 22:00:00,0.737
2025-07-18 22:15:00,0.738
2025-07-18 22:30:00,0.739
2025-07-18 22:45:00,0.74
2025-07-18 23:00:00,0.74
2025-07-18 23:15:00,0.74
2025-07-18 23:30:00,0.739
2025-07-18 23:45:00,0.738
2025-07-19 00:00:00,0.707
2025-07-19 00:15:00,0.706
2025-07-19 00:30:00,0.704
2025-07-19 00:45:00,0.702
2025-07-19 01:00:00,0.699
2025-07-19 01:15:00,0.697
2025-07-19 01:30:00,0.693
2025-07-19 01:45:00,0.69
2025-07-19 02:00:00,0.687
2025-07-19 02:15:00,0.683
2025-07-19 02:30:00,0.679
2025-07-19 02:45:00,0.674
2025-07-19 03:00:00,0.67
2025-07-19 03:15:00,0.665
2025-07-19 03:30:00,0.661
2025-07-19 03:45:00,0.656
2025-07-19 04:00:00,0.651
2025-07-19 04:15:00,0.646
2025-07-19 04:30:00,0.64
2025-07-19 04:45:00,0.635
2025-07-19 05:00:00,0.63
2025-07-19 05:15:00,0.625
2025-07-19 05:30:00,0.62
2025-07-19 05:45:00,0.614
2025-07-19 06:00:00,0.609
2025-07-19 06:15:00,0.604
2025-07-19 06:30:00,0.599
2025-07-19 06:45:00,0.595
2025-07-19 07:00:00,0.59
2025-07-19 07:15:00,0.586
2025-07-19 07:30:00,0.581
2025-07-19 07:45:00,0.577
2025-07-19 08:00:00,0.573
2025-07-19 08:15:00,0.57
2025-07-19 08:30:00,0.567
2025-07-19 08:45:00,0.563
2025-07-19 09:00:00,0.561
2025-07-19 09:15:00,0.558
2025-07-19 09:30:00,0.556
2025-07-19 09:45:00,0.554
2025-07-19 10:00:00,0.553
2025-07-19 10:15:00,0.552
2025-07-19 10:30:00,0.551
2025-07-19 10:45:00,0.55
2025-07-19 11:00:00,0.55
2025-07-19 11:15:00,0.55
2025-07-19 11:30:00,0.551
2025-07-19 11:45:00,0.552
2025-07-19 12:00:00,0.553
2025-07-19 12:15:00,0.554
2025-07-19 12:30:00,0.556
2025-07-19 12:45:00,0.558
2025-07-19 13:00:00,0.561
2025-07-19 13:15:00,0.563
2025-07-19 13:30:00,0.567
2025-07-19 13:45:00,0.57
2025-07-19 14:00:00,0.573
2025-07-19 14:15:00,0.577
2025-07-19 14:30:00,0.581
2025-07-19 14:45:00,0.586
2025-07-19 15:00:00,0.59
2025-07-19 15:15:00,0.595
2025-07-19 15:30:00,0.599
2025-07-19 15:45:00,0.604
2025-07-19 16:00:00,0.609
2025-07-19 16:15:00,0.614
2025-07-19 16:30:00,0.62
2025-07-19 16:45:00,0.625
2025-07-19 17:00:00,0.63
2025-07-19 17:15:00,0.635
2025-07-19 17:30:00,0.64
2025-07-19 17:45:00,0.646
2025-07-19 18:00:00,0.651
2025-07-19 18:15:00,0.656
2025-07-19 18:30:00,0.661
2025-07-19 18:45:00,0.665
2025-07-19 19:00:00,0.67
2025-07-19 19:15:00,0.674
2025-07-19 19:30:00,0.679
2025-07-19 19:45:00,0.683
2025-07-19 20:00:00,0.687
2025-07-19 20:15:00,0.69
2025-07-19 20:30:00,0.693
2025-07-19 20:45:00,0.697
2025-07-19 21:00:00,0.699
2025-07-19 21:15:00,0.702
2025-07-19 21:30:00,0.704
2025-07-19 21:45:00,0.706
2025-07-19 22:00:00,0.707
2025-07-19 22:15:00,0.708
2025-07-19 22:30:00,0.709
2025-07-19 22:45:00,0.71
2025-07-19 23:00:00,0.71
2025-07-19 23:15:00,0.71
2025-07-19 23:30:00,0.709
2025-07-19 23:45:00,0.708
2025-07-20 00:00:00,0.707
2025-07-20 00:15:00,0.706
2025-07-20 00:30:00,0.704
2025-07-20 00:45:00,0.702
2025-07-20 01:00:00,0.699
2025-07-20 01:15:00,0.697
2025-07-20 01:30:00,0.693
2025-07-20 01:45:00,0.69
2025-07-20 02:00:00,0.687
2025-07-20 02:15:00,0.683
2025-07-20 02:30:00,0.679
2025-07-20 02:45:00,0.674
2025-07-20 03:00:00,0.67
2025-07-20 03:15:00,0.665
2025-07-20 03:30:00,0.661
2025-07-20 03:45:00,0.656
2025-07-20 04:00:00,0.651
2025-07-20 04:15:00,0.646
2025-07-20 04:30:00,0.64
2025-07-20 04:45:00,0.635
2025-07-20 05:00:00,0.63
2025-07-20 05:15:00,0.625
2025-07-20 05:30:00,0.62
2025-07-20 05:45:00,0.614
2025-07-20 06:00:00,0.609
2025-07-20 06:15:00,0.604
2025-07-20 06:30:00,0.599
2025-07-20 06:45:00,0.595
2025-07-20 07:00:00,0.59
2025-07-20 07:15:00,0.586
2025-07-20 07:30:00,0.581
2025-07-20 07:45:00,0.577
2025-07-20 08:00:00,0.573
2025-07-20 08:15:00,0.57
2025-07-20 08:30:00,0.567
2025-07-20 08:45:00,0.563
2025-07-20 09:00:00,0.561
2025-07-20 09:15:00,0.558
2025-07-20 09:30:00,0.556
2025-07-20 09:45:00,0.554
2025-07-20 10:00:00,0.553
2025-07-20 10:15:00,0.552
2025-07-20 10:30:00,0.551
2025-07-20 10:45:00,0.55
2025-07-20 11:00:00,0.55
2025-07-20 11:15:00,0.55
2025-07-20 11:30:00,0.551
2025-07-20 11:45:00,0.552
2025-07-20 12:00:00,0.553
2025-07-20 12:15:00,0.554
2025-07-20 12:30:00,0.556
2025-07-20 12:45:00,0.558
2025-07-20 13:00:00,0.561
2025-07-20 13:15:00,0.563
2025-07-20 13:30:00,0.567
2025-07-20 13:45:00,0.57
2025-07-20 14:00:00,0.573
2025-07-20 14:15:00,0.577
2025-07-20 14:30:00,0.581
2025-07-20 14:45:00,0.586
2025-07-20 15:00:00,0.59
2025-07-20 15:15:00,0.595
2025-07-20 15:30:00,0.599
2025-07-20 15:45:00,0.604
2025-07-20 16:00:00,0.609
2025-07-20 16:15:00,0.614
2025-07-20 16:30:00,0.62
2025-07-20 16:45:00,0.625
2025-07-20 17:00:00,0.63
2025-07-20 17:15:00,0.635
2025-07-20 17:30:00,0.64
2025-07-20 17:45:00,0.646
2025-07-20 18:00:00,0.651
2025-07-20 18:15:00,0.656
2025-07-20 18:30:00,0.661
2025-07-20 18:45:00,0.665
2025-07-20 19:00:00,0.67
2025-07-20 19:15:00,0.674
2025-07-20 19:30:00,0.679
2025-07-20 19:45:00,0.683
2025-07-20 20:00:00,0.687
2025-07-20 20:15:00,0.69
2025-07-20 20:30:00,0.693
2025-07-20 20:45:00,0.697
2025-07-20 21:00:00,0.699
2025-07-20 21:15:00,0.702
2025-07-20 21:30:00,0.704
2025-07-20 21:45:00,0.706
2025-07-20 22:00:00,0.707
2025-07-20 22:15:00,0.708
2025-07-20 22:30:00,0.709
2025-07-20 22:45:00,0.71
2025-07-20 23:00:00,0.71
2025-07-20 23:15:00,0.71
2025-07-20 23:30:00,0.709
2025-07-20 23:45:00,0.708
