slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_ev_charge_kw,p1_ev_discharge_kw,bl_ev_charge_kw,bl_ev_discharge_kw
605,2025-07-20 07:00:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
606,2025-07-20 07:15:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
607,2025-07-20 07:30:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
608,2025-07-20 07:45:00,2025-07-20,0.4,0.0,0.0,0.0,0.0
609,2025-07-20 08:00:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
610,2025-07-20 08:15:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
611,2025-07-20 08:30:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
612,2025-07-20 08:45:00,2025-07-20,0.62,0.0,0.0,7.0,0.0
613,2025-07-20 09:00:00,2025-07-20,0.62,0.0,0.0,7.0,0.0
614,2025-07-20 09:15:00,2025-07-20,0.62,0.0,0.0,7.0,0.0
615,2025-07-20 09:30:00,2025-07-20,0.62,0.0,0.0,7.0,0.0
616,2025-07-20 09:45:00,2025-07-20,0.62,0.0,0.0,7.0,0.0
617,2025-07-20 10:00:00,2025-07-20,0.62,0.0,0.0,7.0,0.0
618,2025-07-20 10:15:00,2025-07-20,0.62,7.0,0.0,14.0,0.0
619,2025-07-20 10:30:00,2025-07-20,0.62,7.0,0.0,14.0,0.0
620,2025-07-20 10:45:00,2025-07-20,0.62,9.2631579,0.0,21.0,0.0
621,2025-07-20 11:00:00,2025-07-20,0.62,14.0,0.0,32.0,0.0
622,2025-07-20 11:15:00,2025-07-20,0.62,7.0,0.0,50.30434782608695,0.0
623,2025-07-20 11:30:00,2025-07-20,0.62,18.0,0.0,47.0,0.0
624,2025-07-20 11:45:00,2025-07-20,0.62,20.3157895,0.0,47.0,0.0
625,2025-07-20 12:00:00,2025-07-20,0.62,29.0,0.0,58.0,0.0
626,2025-07-20 12:15:00,2025-07-20,0.62,35.6315789,0.0,51.0,0.0
627,2025-07-20 12:30:00,2025-07-20,0.62,40.0,0.0,51.0,0.0
628,2025-07-20 12:45:00,2025-07-20,0.62,29.0,0.0,51.0,0.0
629,2025-07-20 13:00:00,2025-07-20,0.62,40.0,0.0,48.39130434782608,0.0
630,2025-07-20 13:15:00,2025-07-20,0.62,22.0,0.0,35.73913043478256,0.0
631,2025-07-20 13:30:00,2025-07-20,0.62,44.0,0.0,31.26086956521737,0.0
632,2025-07-20 13:45:00,2025-07-20,0.62,44.0,0.0,21.434782608695613,0.0
633,2025-07-20 14:00:00,2025-07-20,0.62,44.0,0.0,11.0,0.0
634,2025-07-20 14:15:00,2025-07-20,0.62,44.0,0.0,11.0,0.0
635,2025-07-20 14:30:00,2025-07-20,0.62,43.526316,0.0,11.0,0.0
636,2025-07-20 14:45:00,2025-07-20,0.62,32.0,0.0,2.913043478260815,0.0
637,2025-07-20 15:00:00,2025-07-20,0.62,5.8421053,0.0,0.0,0.0
638,2025-07-20 15:15:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
639,2025-07-20 15:30:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
640,2025-07-20 15:45:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
641,2025-07-20 16:00:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
642,2025-07-20 16:15:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
643,2025-07-20 16:30:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
644,2025-07-20 16:45:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
645,2025-07-20 17:00:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
646,2025-07-20 17:15:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
647,2025-07-20 17:30:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
648,2025-07-20 17:45:00,2025-07-20,0.62,0.0,0.0,0.0,0.0
649,2025-07-20 18:00:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
650,2025-07-20 18:15:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
651,2025-07-20 18:30:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
652,2025-07-20 18:45:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
653,2025-07-20 19:00:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
654,2025-07-20 19:15:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
655,2025-07-20 19:30:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
656,2025-07-20 19:45:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
657,2025-07-20 20:00:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
658,2025-07-20 20:15:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
659,2025-07-20 20:30:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
660,2025-07-20 20:45:00,2025-07-20,0.78,0.0,0.0,0.0,0.0
661,2025-07-20 21:00:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
662,2025-07-20 21:15:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
663,2025-07-20 21:30:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
664,2025-07-20 21:45:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
665,2025-07-20 22:00:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
666,2025-07-20 22:15:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
667,2025-07-20 22:30:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
668,2025-07-20 22:45:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
669,2025-07-20 23:00:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
670,2025-07-20 23:15:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
671,2025-07-20 23:30:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
672,2025-07-20 23:45:00,2025-07-20,0.55,0.0,0.0,0.0,0.0
