slot_id,timestamp,date,price_buy_yuan_per_kwh,p1_grid_import_kw,p1_grid_export_kw,bl_grid_import_kw,bl_grid_export_kw
661,2025-07-20 21:00:00,2025-07-20,0.55,524.4,0.0,361.0,0.0
662,2025-07-20 21:15:00,2025-07-20,0.55,508.6,0.0,345.1,0.0
663,2025-07-20 21:30:00,2025-07-20,0.55,521.5,0.0,358.0,0.0
664,2025-07-20 21:45:00,2025-07-20,0.55,519.3,0.0,355.7,0.0
665,2025-07-20 22:00:00,2025-07-20,0.55,497.8,0.0,334.2,0.0
666,2025-07-20 22:15:00,2025-07-20,0.55,784.3,0.0,320.8,0.0
667,2025-07-20 22:30:00,2025-07-20,0.55,784.9,0.0,321.5,0.0
668,2025-07-20 22:45:00,2025-07-20,0.55,787.8,0.0,324.4,0.0
669,2025-07-20 23:00:00,2025-07-20,0.55,772.6,0.0,309.1,0.0
670,2025-07-20 23:15:00,2025-07-20,0.55,778.1,0.0,314.7,0.0
671,2025-07-20 23:30:00,2025-07-20,0.55,783.5,0.0,319.9,0.0
672,2025-07-20 23:45:00,2025-07-20,0.55,650.36704,0.0,319.0,0.0
